公司代号,公司名字,类型,联系方式类型,联系方式
,,,电话,54473401
1020120530,上海鸿渲建筑装饰工程有限公司,施工企业,电子邮箱,969268636@qq.com
1020170403,上海鸿展信息技术有限公司,施工企业,电子邮箱,1577639659@qq.com
,,,电话,021-63090909
1020172830,上海厚通实业有限公司,施工企业,电子邮箱,myyousun@163.com
,,,电话,021-57567519
1020166856,上海互联网软件集团有限公司,施工企业,电子邮箱,xuebin@beyondbit.com
,,,电话,021-50706888
1020140141,上海沪茨格伦木结构有限公司,施工企业,电子邮箱,695353567@qq.com
1020040606,上海沪电电力工程有限公司,施工企业,电子邮箱,9419735@qq.com
,,,电子邮箱,hudiandianli@163.com
,,,电话,021-50429229
,,,电话,021-50429559
1020022750,上海沪汇建筑装饰工程有限公司,施工企业,电子邮箱,18917967896@yeah.net
,,,电话,021-58011580
1020120529,上海沪建建筑装饰工程有限公司,施工企业,电子邮箱,13585863223@163.com
,,,电话,021-33906790
,,,电话,13585863223
1020165038,上海沪煤燃气工程有限公司,施工企业,电子邮箱,humei126@163.com
,,,电话,021-37790037
,,,电话,021-63681858
1020020571,上海沪南体育设施建筑工程有限公司,施工企业,电子邮箱,08hunantiyu@sina.com
,,,电话,021-64701601
1020110750,上海华成实业有限公司,施工企业,电子邮箱,info@hcchina.net
,,,电子邮箱,823109272@qq.com
,,,电子邮箱,zhoushuo@furtherspace.com.cn
,,,电话,021-51879177
1020100422,上海华纯建筑装饰工程有限公司,施工企业,电话,15821089821
,,,电话,021-66516928
,,,电话,66516928
1020050499,上海华地建设工程有限公司,施工企业,电子邮箱,huadijs@163.com
,,,电话,021-60821850
,,,电话,021-60821852
1020030013,上海华东电脑股份有限公司,施工企业,电子邮箱,ecczb@shecc.com
,,,电话,021-33390000
1020166191,上海华府建筑装饰设计工程有限公司,施工企业,电子邮箱,77355065@qq.com
,,,电话,15901998189
,,,电话,18939731853
1020172069,上海华好建筑劳务分包有限责任公司,施工企业,电话,021-67283179
1020120488,上海华集建筑劳务有限公司,施工企业,电话,18616226232
,,,电话,021-56554011
1020090265,上海华际建筑装饰有限公司,施工企业,电子邮箱,hr@huajitao.com
,,,电子邮箱,hjt@huajitao.com
,,,电话,021-61738101
,,,电话,201-61738101
1020070486,上海华佳绿化工程有限公司,施工企业,电子邮箱,390686829@qq.com
,,,电话,021-65435939
1020166324,上海华民宝科建设工程有限公司,施工企业,电话,021-67155353
1020165794,上海华明电力设备销售有限公司,施工企业,电子邮箱,export@huaming.com
,,,电子邮箱,lyl@huaming.com
,,,电话,021-52708966
,,,电话,021-52700716
,,,电话,021-52703385
1020166518,上海华铭智能终端设备股份有限公司,施工企业,电子邮箱,hmzn@hmmachine.com
,,,电话,021-57784382
,,,电话,021-57734382
,,,电话,021-57784387
1020130355,上海华擎建设有限公司,施工企业,电子邮箱,huaqingfe@126.com
,,,电子邮箱,huagingfe@126.com
,,,电话,021-56625634
,,,电话,021-56723046
1020023095,上海华胜电力建设工程有限公司,施工企业,电子邮箱,1836632604@qq.com
,,,电子邮箱,huashengdl@sina.com
,,,电话,13122887019
,,,电话,021-57734712
1020050320,上海华腾市政建设工程有限公司,施工企业,电子邮箱,zao-dan@163.com
,,,电话,021-57558205
,,,电话,13818770860
1020171265,上海华为电信设备工程有限公司,施工企业,电子邮箱,jiajiadujin@sina.com
,,,电话,18918110598
,,,电话,18321223721
,,,电话,52691858
1020163530,上海华维节水灌溉股份有限公司,施工企业,电子邮箱,sales@hwei.net
,,,电话,021-50187018
,,,电话,18917309871
1020172047,上海华信国惠环保科技有限公司,施工企业,电子邮箱,hxgh@cvssbj.com.cn
,,,电话,021-54840087
1020020513,上海华燕消防工程有限公司,施工企业,电子邮箱,454540857@qq.com
,,,电子邮箱,huayan_119@126.com
,,,电话,021-54290023
,,,电话,021-54555008
1020173208,上海华飏机电安装工程有限公司,施工企业,电话,13817290142
1020080272,上海华业建设集团有限公司,施工企业,电子邮箱,190642412@qq.com
,,,电话,021-68526355
,,,电话,021-68319791
1020023160,上海华贻电力市政建设工程有限公司,施工企业,电子邮箱,shhydlsz@163.com
,,,电子邮箱,shhydlsz@sh163.net
,,,电话,021-57797208
1020150598,上海华谊工程服务有限公司,施工企业,电子邮箱,gcfwbgs@163.com
,,,电子邮箱,hyecs_pb@163.com
,,,电话,021-34120300
,,,电话,021-33676861
,,,电话,021-64702383
1020020077,上海华谊建设有限公司,施工企业,电子邮箱,hyjs@shhyjs.com
,,,电话,021-54084605
1020080223,上海华裕石材有限公司,施工企业,电子邮箱,237681834@qq.com
,,,电子邮箱,71261@qq.com
,,,电子邮箱,wanglisa88@hotmail.com
,,,电话,13795338757
,,,电话,13122384588
1020172174,上海华跃建筑劳务有限公司,施工企业,电话,13818222239
,,,电话,13979191272
1020171227,上海华云防雷科技有限公司,施工企业,电子邮箱,hygk@huayun.sh.cn
,,,电子邮箱,hygk@huayun.shcn
,,,电话,021-54896301
,,,电话,021-64681419
,,,电话,021-64274323
1020140625,上海华兹建筑工程有限公司,施工企业,电子邮箱,jovensh@sina.com
,,,电话,021-50310631
,,,电话,021-58305520
1020174647,上海桦甸装饰有限公司,施工企业,电子邮箱,yuanzi@smartyourmoney.com
,,,电话,13918632587
1020166347,上海怀信建筑劳务有限公司,施工企业,电话,15375278106
1020166302,上海槐林建筑工程有限公司,施工企业,电子邮箱,5905635@qq.com
,,,电子邮箱,59056535@qq.com
,,,电话,13621549583
1020020678,上海环保工程成套有限公司,施工企业,电子邮箱,guxx@shanghai-electric.com
,,,电子邮箱,caoqin@shanghai-electric.com
,,,电子邮箱,xiaji@shanghai-electric.com
,,,电话,021-31160160
1019990003,上海环境卫生工程设计院有限公司,施工企业,电话,021-54084555
,,,电话,13661667951
,,,电话,11366166795
1020051234,上海环禹消防工程有限公司,施工企业,电子邮箱,252631070@qq.com
,,,电子邮箱,sh-tdjs@163.com
,,,电子邮箱,sh_tdjs@163.com
,,,电话,021-66115592
1020120291,上海皇浦鑫实业发展有限公司,施工企业,电话,021-33180062
,,,电话,13651854990
1020171251,上海黄坛膜结构工程有限公司,施工企业,电话,13641867259
,,,电话,021-60516489
,,,电话,60516489
1020170821,上海煌川建设工程有限公司,施工企业,电子邮箱,296260125@qq.com
,,,电话,021-52655913
1020130798,上海煌虹建筑装饰设计工程有限公司,施工企业,电话,021-34710799
,,,电话,52211798
,,,电话,34010799
1020170820,上海煌驿建筑劳务有限公司,施工企业,电子邮箱,296260125@qq.com
,,,电话,021-52655913
1020140204,上海潢上建设装饰工程有限公司,施工企业,电子邮箱,47412155@qq.com
,,,电话,021-61600426
,,,电话,58597999-667
,,,电话,58576999-667
1020170278,上海辉界建设工程有限公司,施工企业,电子邮箱,cockooai@126.com
,,,电话,021-59971777
,,,电话,021-59977177
1020099092,上海辉进建设工程有限公司,施工企业,电子邮箱,amandaying2001@163.com
,,,电子邮箱,zcchj@vip.163.com
,,,电子邮箱,zchhj@vip.163.com
,,,电话,13917573710
,,,电话,13311958608
,,,电话,021-68680193
1020170276,上海辉燕建筑工程有限公司,施工企业,电子邮箱,936474000@qq.com
,,,电话,021-52658669
1020170407,上海辉逸建设工程有限公司,施工企业,电话,021-31593315
,,,电话,13817695015
1020080355,上海辉熠石业装饰有限公司,施工企业,电子邮箱,shhysyzs@163.com
,,,电子邮箱,1961216403@qq.com
,,,电话,021-62846554
,,,电话,021-58418400
1020170032,上海辉迎建筑劳务有限公司,施工企业,电子邮箱,158056378@qq.com
,,,电话,021-60259734
,,,电话,021-64055328
1020171849,上海辉语通讯工程有限公司,施工企业,电话,18930846266
,,,电话,021-64905627
,,,电话,64905627
1020170975,上海徽通建筑劳务有限公司,施工企业,电子邮箱,2207084216@qq.com
,,,电话,13918940518
2020100076,上海卉昌建筑工程有限责任公司,施工企业,电子邮箱,lunachen@greenlandhk.com
,,,电子邮箱,luna166@sina.com
,,,电话,021-65336556
1020022435,上海汇东建设工程有限公司,施工企业,电子邮箱,740097984@qq.com
,,,电话,021-56661330
,,,电话,56661330-801
1020150058,上海汇警市政工程有限公司,施工企业,电话,15900605504
,,,电话,13795302309
1020161082,上海汇凌建筑装饰有限公司,施工企业,电子邮箱,xzwhl@163.com
,,,电子邮箱,xzwhl@163.om
,,,电话,021-66070087
,,,电话,66070086
1020165858,上海汇如电子科技有限公司,施工企业,电子邮箱,hesj218@163.com
,,,电子邮箱,1004096675@qq.com
,,,电话,021-64051551
1020090344,上海汇睿建筑装饰工程有限公司,施工企业,电子邮箱,witraysh@126.com
,,,电话,021-65197951
,,,电话,021-65197950
1020130551,上海汇洲建设集团有限公司,施工企业,电子邮箱,kaiyunzeng@hidraw.com
,,,电子邮箱,ziqi.chen@hidraw.com
,,,电子邮箱,yangxuemei@sohu.com
,,,电子邮箱,guyuan1@126.com
,,,电话,021-50183999
,,,电话,13816138823
,,,电话,13817140321
,,,电话,51920761
1020022787,上海汇祝电力工程有限公司,施工企业,电子邮箱,fansm@qiteng.com
,,,电子邮箱,zjhao@hotmail.com
,,,电子邮箱,zjhao06@hotmail.com
,,,电话,021-58108921
,,,电话,021-68106399
,,,电话,021-58108912
,,,电话,13917836171
1020172122,上海惠尔装饰股份有限公司,施工企业,电子邮箱,512517899@qq.com
,,,电子邮箱,xiaobaobei92@163.com
,,,电话,18063329993
,,,电话,15953084383
1020130360,上海惠海建设集团有限公司,施工企业,电子邮箱,shhaichuan@163.com
,,,电话,15618600000
,,,电话,021-39197778
1020100434,上海惠盟电力工程有限公司,施工企业,电子邮箱,309772274@qq.com
,,,电子邮箱,hui_meng@yeah.net
,,,电话,021-57799399
,,,电话,13661558111
1020172509,上海惠权园林工程有限公司,施工企业,电子邮箱,1607499899@qq.com
,,,电子邮箱,13661965157@139.com
,,,电话,18964537561
,,,电话,13581933556
,,,电话,13661965157
1020154918,上海惠睿智能工程有限公司,施工企业,电话,021-50942556
,,,电话,021-50942529
1020120748,上海慧驰建设工程有限公司,施工企业,电子邮箱,hiclass_suri@126.com
,,,电子邮箱,240895861@qq.com
,,,电话,021-60765350
,,,电话,60765350
1020120864,上海慧度装饰设计有限公司,施工企业,电子邮箱,2900369084@qq.com
,,,电话,15618200910
1020172095,上海慧乾建设工程有限公司,施工企业,电子邮箱,361057092@qq.com
,,,电话,021-34122622
1020130465,上海慧特建设工程有限公司,施工企业,电子邮箱,shhuite@126.com
,,,电子邮箱,kuaida@126.com
,,,电话,021-64772798
1020120638,上海活金建设工程有限公司,施工企业,电子邮箱,13816500851@163.com
,,,电话,021-34688848
,,,电话,18964612630
1020173322,上海积豪市政工程有限公司,施工企业,电子邮箱,2388126228@qq.com
,,,电话,18600282335
1020110405,上海基安建筑工程有限公司,施工企业,电子邮箱,shjajz@163.com
,,,电子邮箱,fxp0126@126.com
,,,电话,021-59106802
,,,电话,13501739537
,,,电话,59106802-605
1020110026,上海基弘电气工程有限公司,施工企业,电话,021-58150501
1020080067,上海基通系统集成有限公司,施工企业,电子邮箱,skyjyh@126.com
,,,电话,021-56032388
1020171612,上海基旭能源工程技术有限公司,施工企业,电子邮箱,jixue@163.com
,,,电话,15710113735
1020174080,上海吉工建筑劳务有限公司,施工企业,电子邮箱,1422820791@qq.com
,,,电话,021-52960276
1020173366,上海吉恭交通设施工程有限公司,施工企业,电子邮箱,2880118207@qq.com
,,,电子邮箱,317750412@qq.com
,,,电话,13901961988
,,,电话,15800609221
1020080141,上海吉宁消防工程有限公司,施工企业,电子邮箱,wubin@jnfire.com
,,,电子邮箱,sunxin@jnfire.com
,,,电子邮箱,sunxin@simplex.sh.cn
1020040135,上海吉威电子系统工程有限公司,施工企业,电子邮箱,jenniferni@micb2b.com.cn
,,,电话,021-50323399
,,,电话,021-50323399-20016
1020170207,上海吉鑫建设（集团）有限公司,施工企业,电话,021-62322651
1020080317,上海吉星工业设备安装有限公司,施工企业,电话,021-57458089
,,,电话,13341611762
,,,电话,021-57458879
,,,电话,13777391666
1020171906,上海吉阳信息技术有限公司,施工企业,电子邮箱,15618271127@163.com
,,,电子邮箱,15821358523@163.com
,,,电子邮箱,jiyang@jiyangit.com
,,,电话,021-65320001
,,,电话,021-65325858
,,,电话,021-20282770
1020120626,上海集岳建筑工程技术有限公司,施工企业,电子邮箱,shjishecomplany@163.com
,,,电子邮箱,362799032@qq.com
,,,电话,021-65153859
,,,电话,021-65153895
,,,电话,13816041419
1020160178,上海季君建设工程有限公司,施工企业,电子邮箱,641026616@qq.com
,,,电子邮箱,839335846@qq.com
,,,电子邮箱,837404689@qq.com
,,,电话,13311613216
,,,电话,021-56132028
1020172206,上海济茗建设工程有限公司,施工企业,电话,021-65975808
1020130646,上海济盛建设工程有限公司,施工企业,电子邮箱,973610746@qq.com
,,,电子邮箱,284524568@qq.com
,,,电话,021-65988372
,,,电话,021-65985831
1020120377,上海继昱消防工程有限公司,施工企业,电子邮箱,723632682@qq.com
,,,电话,021-34783696
,,,电话,18917098033
1020166907,上海暨华劳务服务有限公司,施工企业,电话,18017274418
,,,电话,021-64290448
1020164503,上海骥通网络信息科技有限公司,施工企业,电子邮箱,jitongwangluo@163.com
,,,电子邮箱,18601688166@wo.cn
,,,电子邮箱,13311688166@133sh.com
,,,电话,021-52671921
,,,电话,021-52671920
,,,电话,021-61489918
,,,电话,021-61481881
1020171325,上海加博有线网络安装有限公司,施工企业,电子邮箱,jiaoboyouxian@163.com
,,,电子邮箱,jiaboyouxian@163.com
,,,电话,021-61072012
1020166521,上海加冬贸易有限公司,施工企业,电子邮箱,jeffmiao@126.com
,,,电子邮箱,liujian2306@163.com
,,,电子邮箱,jiadonghanci@hotmail.com
,,,电话,021-53961108
,,,电话,021-66391635
,,,电话,021-66361084
1020100128,上海加强建筑工程科技有限公司,施工企业,电话,13311665671
1020130398,上海加盈建筑工程有限公司,施工企业,电子邮箱,jiaying1858@163.com
,,,电话,021-65397958
,,,电话,65397958
1020166294,上海加中电信工程有限公司,施工企业,电子邮箱,243778206@qq.com
,,,电话,021-64905098
1020060138,上海佳标市政交通工程有限公司,施工企业,电子邮箱,jiabiaovip@126.com
,,,电话,021-67648197
,,,电话,021-67649326
,,,电话,18621366705
1020171137,上海佳势展陈装饰设计工程有限公司,施工企业,电子邮箱,luoqiao@jj-grouo.com.cn
,,,电话,021-51879188
,,,电话,51879188
1020164181,上海家东建设工程有限公司,施工企业,电话,13918557122
,,,电话,13901975375
,,,电话,021-54793443
1020171079,上海嘉帛系统集成有限公司,施工企业,电子邮箱,jabol_shanghai@126.com
,,,电话,15850336223
,,,电话,15250129926
1020021989,上海嘉定工业设备安装有限公司,施工企业,电子邮箱,shuizhiyuan8@sina.com
,,,电话,021-39108188
1020164312,上海嘉定市政工程养护有限公司,施工企业,电子邮箱,jdszyh@sina.com
,,,电话,021-59926970
1020030678,上海嘉定翔达市政园林工程有限公司,施工企业,电子邮箱,xdccy87@163.com
1020170870,上海嘉麓建设工程有限公司,施工企业,电话,15870999993
,,,电话,18501721330
,,,电话,13817966927
,,,电话,18918723983
1020171207,上海嘉淼市政建设工程有限公司,施工企业,电子邮箱,272691688@qq.com
,,,电话,13636350790
,,,电话,021-39003203
,,,电话,39003203
1020120440,上海嘉乾建设工程有限公司,施工企业,电子邮箱,liuqian0922@163.com
,,,电子邮箱,zsb0210@126.com
,,,电话,13701846878
,,,电话,13601754207
,,,电话,021-31063710
,,,电话,31063710
1020080336,上海嘉荣建设工程有限公司,施工企业,电子邮箱,hhq_sh@163.com
,,,电子邮箱,hhq-sh@163.com
,,,电子邮箱,ruanjianrong88@163.com
,,,电话,021-62560218
,,,电话,021-62560186
,,,电话,13901868086
1020120224,上海嘉顺燃气具有限公司,施工企业,电子邮箱,jsrq@126.com
,,,电话,021-67118659
,,,电话,021-57191665
,,,电话,13801817890
1020100715,上海嘉太建设工程有限公司,施工企业,电子邮箱,156864037@qq.com
,,,电话,15821266045
,,,电话,021-50932768
,,,电话,60767776
1020171556,上海嘉涛建筑装饰工程有限公司,施工企业,电话,021-64682030
1020041101,上海嘉勋消防工程技术有限公司,施工企业,电子邮箱,dongfangzhizhou8@163.com
,,,电话,021-54941191
,,,电话,54941191-815
,,,电话,54950350
1020080055,上海嘉展建筑装潢工程有限公司,施工企业,电话,021-31270888
1020165939,上海嘉真网络科技有限公司,施工企业,电子邮箱,1738655931@qq.com
,,,电话,021-69517711
,,,电话,69517711-8122
1020110428,上海嘉正通讯技术有限公司,施工企业,电子邮箱,12427928@qq.com
,,,电子邮箱,80735585@qq.com
,,,电话,021-22210808
,,,电话,021-62760666
1020150029,上海甲由电力科技有限公司,施工企业,电子邮箱,yuanchang2009@hotmail.com
,,,电话,021-59121805
1020165453,上海稼阳机电设备技术有限公司,施工企业,电话,021-56608440
1020170093,上海俭程建设工程有限公司,施工企业,电话,021-57681821
,,,电话,13661704791
1020171573,上海简石净化工程有限公司,施工企业,电子邮箱,ljshao@simplstone.com
,,,电话,021-61279737
1020163393,上海建材集团装饰工程有限公司,施工企业,电子邮箱,381331353@qq.com
,,,电话,021-60407096
,,,电话,021-61409017
1020110399,上海建昶建筑工程有限公司,施工企业,电话,18602194161
,,,电话,021-60907636
,,,电话,021-60906327
,,,电话,13916765869
1020165593,上海建工南桥混凝土有限公司,施工企业,电子邮箱,116799019@qq.com
,,,电话,021-57690087
,,,电话,021-67159473
1020000092,上海建工七建集团有限公司,施工企业,电子邮箱,bgs@sc7cg.com.cn
,,,电子邮箱,bgs@sc7gc.com.cn
,,,电子邮箱,bgs@shqj.com.cn
,,,电话,021-62527188
1020000088,上海建工四建集团有限公司,施工企业,电子邮箱,shsijian@scc4.cn
,,,电子邮箱,zyx2546@scc4.cn
,,,电话,021-62530177
1013900083,上海建工五建集团有限公司,施工企业,电子邮箱,info@scgwj.com
,,,电话,021-62168888
1020110478,上海建溧建设集团有限公司,施工企业,电子邮箱,shjianlijz@163.com
,,,电话,021-60295530
1020021282,上海建民水电安装工程有限公司,施工企业,电子邮箱,111@qq.com
,,,电子邮箱,xingyuangs@hotmail.com
,,,电话,021-52662457
,,,电话,13003240976
,,,电话,13918023099
1020020567,上海建南土方工程运输有限公司,施工企业,电话,021-33311853
,,,电话,13916116881
1020110751,上海建硕建筑工程有限公司,施工企业,电子邮箱,kkkkxxx@sohu.com
,,,电话,021-36527880
,,,电话,021-36528660
1020100403,上海建为历保科技股份有限公司,施工企业,电子邮箱,shjwqy@shjwqy.com
,,,电子邮箱,wangwei@shjwqy.com
,,,电话,021-60891185
,,,电话,062-60891185
,,,电话,021-68591185
,,,电话,60891185833
1020080059,上海建熙建筑劳务有限公司,施工企业,电子邮箱,413187812@qq.com
,,,电话,021-68463159
1020170749,上海建乡市政工程有限公司,施工企业,电子邮箱,szlh@ljz-szlh.com
,,,电话,021-58777071
1020156099,上海建冶科技工程股份有限公司,施工企业,电子邮箱,jdjiane@sina.com
,,,电子邮箱,jdjianye@sina.com
,,,电话,021-54428430
,,,电话,021-5442430
1020156023,上海建之正钢结构工程有限公司,施工企业,电话,021-57282599
,,,电话,13003110433
,,,电话,021-67240240
1020020906,上海建筑防水有限公司,施工企业,电子邮箱,info@jzfs.com
,,,电话,13022196647
1020166566,上海剑威市政建设工程有限公司,施工企业,电子邮箱,xxj59442842@163.com
,,,电话,021-59442842
1020051267,上海健隆房屋建筑劳务有限公司,施工企业,电子邮箱,1195473234@qq.com
,,,电话,021-58803773
,,,电话,021-5880377
1020020630,上海健生运动场工程有限公司,施工企业,电子邮箱,1259447953@qq.com
,,,电子邮箱,76618379@qq.com
,,,电话,021-55213099
,,,电话,021-53073399
,,,电话,53073399-6802
1020152529,上海江地建筑劳务有限公司,施工企业,电子邮箱,804120418@qq.com
,,,电话,18217630817
,,,电话,13501794898
1020165277,上海江久电器有限公司,施工企业,电话,13020273198
,,,电话,13901878691
1020023190,上海江龙建设工程有限公司,施工企业,电子邮箱,980462831@qq.com
,,,电话,13601868100
,,,电话,021-69601779
1020166910,上海江韦建筑劳务有限公司,施工企业,电话,021-35329388
,,,电话,021-31583182
1020170857,上海江肖消防工程有限公司,施工企业,电子邮箱,785249411@qq.com
,,,电话,021-56483530
,,,电话,13661798792
1020130078,上海匠城建筑装饰设计工程有限公司,施工企业,电话,021-50569772
,,,电话,50569772-8004
1020172714,上海匠实建设发展有限公司,施工企业,电话,13361896111
1020020121,上海交通建设总承包有限公司,施工企业,电子邮箱,584519116@qq.com
,,,电子邮箱,rikki.han@aliyun.com
,,,电话,021-68532618
,,,电话,021-58510603
,,,电话,021-68531823
1020140914,上海郊冠建设工程有限公司,施工企业,电话,021-33691383
1020130163,上海皆宝暖通技术工程有限公司,施工企业,电子邮箱,shjbnt@163.com
,,,电话,021-62868872
,,,电话,021-62968872
1020060948,上海杰步建筑装饰有限公司,施工企业,电子邮箱,2476228572@qq.com
,,,电子邮箱,jiebu_021@126.com
,,,电话,13482844898
,,,电话,021-59927008
,,,电话,59927008
1020051084,上海杰能建设安装有限公司,施工企业,电子邮箱,1115265759@qq.com
,,,电话,021-20782333
1020166309,上海杰然建设发展有限公司,施工企业,电话,021-69106600
,,,电话,13564678177
,,,电话,13651718137
1020110463,上海杰润制冷设备工程有限公司,施工企业,电子邮箱,jierun7373@sina.com
,,,电话,021-54992350
,,,电话,54992350
1020171184,上海杰盛立业网络科技有限公司,施工企业,电子邮箱,guningjun@jesoncom.com
,,,电子邮箱,jesoncom@jesoncom.com
,,,电话,021-55897670
1020166453,上海杰世建筑工程有限公司,施工企业,电子邮箱,65129964@qq.com
,,,电话,021-61921727
,,,电话,18321946510
1020170475,上海捷超脚手架有限公司,施工企业,电子邮箱,zml@shtcranes.cn
,,,电子邮箱,qubm@quick-strong.com
,,,电话,021-51696811
,,,电话,13764049696
,,,电话,15900597853
1020051022,上海捷鼎建设工程有限公司,施工企业,电子邮箱,jieding8@163.com
,,,电话,021-64685415
,,,电话,021-64685630
,,,电话,64685630
1020172749,上海捷龙建筑工程有限公司,施工企业,电话,13926444608
1020170842,上海捷茂通信工程有限公司,施工企业,电话,021-51515200
1020165923,上海捷逊建筑装饰工程有限公司,施工企业,电子邮箱,lason@vip.sina.com
,,,电话,021-37707701
,,,电话,021-64680553
1020173127,上海界建建筑劳务有限公司,施工企业,电话,021-67621191
1020022155,上海界龙建设工程有限公司,施工企业,电子邮箱,jljz@jielongcorp.com
,,,电话,021-58949610
1020080206,上海界元建筑工程有限公司,施工企业,电子邮箱,363457440@qq.com
,,,电话,13817320373
,,,电话,021-69696879
,,,电话,69696879
1020171537,上海今大建筑工程有限公司,施工企业,电子邮箱,jm761@sohu.com
,,,电话,021-65621119
1020023035,上海金安泰建筑安装工程有限公司,施工企业,电子邮箱,jat@jat-sh.com
,,,电子邮箱,shjatjz@163.com
,,,电话,021-55128660
,,,电话,021-55128229
1020165211,上海金岑通信工程有限公司,施工企业,电话,021-57311100
,,,电话,021-57331100
,,,电话,18017169989
,,,电话,57337766-1024
1020070016,上海金递通信科技发展有限公司,施工企业,电话,021-57331100
,,,电话,57331100
1020172322,上海金富电信工程有限公司,施工企业,电子邮箱,762701636@qq.com
,,,电话,13636522032
,,,电话,021-54283200
1020110086,上海金戈电力设备安装有限公司,施工企业,电子邮箱,shjinge@163.com
,,,电子邮箱,njchanzh@163.com
,,,电话,021-59107878
,,,电话,021-39109188
1020110741,上海金冠幕墙科技有限公司,施工企业,电子邮箱,h125015@126.com
,,,电话,021-33588728
,,,电话,021-37788726
1020020877,上海金瀚装饰工程有限公司,施工企业,电子邮箱,yang_qunsheng@jin-han.com.cn
,,,电话,021-62738883
,,,电话,13764198948
1020166076,上海金皓建设工程有限公司,施工企业,电话,18201828207
1020152454,上海金坤建筑装饰工程有限公司,施工企业,电子邮箱,903424175@qq.com
,,,电话,17301741692
,,,电话,18918242687
,,,电话,13482517839
1020022525,上海金岭建设有限公司,施工企业,电子邮箱,jinshanshuili@sina.com
,,,电子邮箱,jingshanshuili@sina.com
,,,电子邮箱,jljs_hwb@sina.com
,,,电话,021-64857988
,,,电话,021-67311553
1020173715,上海金芒果建筑装饰有限公司,施工企业,电子邮箱,2850564862@qq.com
,,,电话,18561939701
1020151393,上海金民给水设备安装工程有限公司,施工企业,电话,021-57446629
1020022492,上海金山漕泾建设工程有限公司,施工企业,电子邮箱,caojinjs@126.com
,,,电话,021-57251460
,,,电话,021-57251317
1020022472,上海金山侨茂综合工程有限公司,施工企业,电子邮箱,651301771@qq.com
,,,电子邮箱,wyfqmqs@126.com
,,,电子邮箱,wyfqms@126.com
,,,电话,021-57248897
1020022494,上海金山石油化工建筑有限公司,施工企业,电子邮箱,root@jspcc.com.cn
,,,电话,021-55266200
,,,电话,021-55286200
1020023203,上海金硕装饰有限公司,施工企业,电子邮箱,1285104536@qq.com
,,,电话,021-59418673
,,,电话,18918019109
1020173641,上海金辛信息技术有限公司,施工企业,电子邮箱,michael.chen@jinxin.net.cn
,,,电话,13918105862
1020023322,上海金曜电子工程有限公司,施工企业,电子邮箱,guy@jinyao.com.cn
,,,电子邮箱,guy@yinji.com.cn
,,,电子邮箱,jinyao@jinyao.com.cn
,,,电话,021-62815577
1020170970,上海金益建筑装饰工程设计有限公司,施工企业,电子邮箱,565095094@qq.com
,,,电子邮箱,565395094@qq.com
,,,电话,021-64781998
,,,电话,13162509889
1020171404,上海谨佑消防安全技术有限公司,施工企业,电话,021-58039992
,,,电话,13818789748
1020170416,上海锦宝信息技术有限公司,施工企业,电话,021-58413972
,,,电话,021-58414376
1020172754,上海锦翠建设工程有限公司,施工企业,电话,13761688668
1020130747,上海锦玛建设工程有限公司,施工企业,电子邮箱,623218146@qq.com
,,,电话,021-37901308
,,,电话,021-33691133
1020171894,上海锦群市政工程有限公司,施工企业,电话,021-58513864
,,,电话,13512181055
1020171666,上海锦苏建筑装饰工程有限公司,施工企业,电子邮箱,20906237@qq.com
,,,电话,021-20906237
1020031024,上海锦湾电力设备工程有限公司,施工企业,电子邮箱,jwdl0053@163.com
,,,电话,021-37900053
1020165740,上海锦消消防工程有限公司,施工企业,电子邮箱,jinxiaoxiaofang@163.com
,,,电子邮箱,3163374776@qq.com
,,,电子邮箱,962506335@qq.com
,,,电话,021-33589136
,,,电话,021-64832841
1020120723,上海锦新机电安装工程有限公司,施工企业,电子邮箱,jx@jinxin-me.com
,,,电话,021-57656376
1020170208,上海锦循建筑工程有限公司,施工企业,电话,021-37526693
1020060025,上海锦烨建筑工程有限公司,施工企业,电子邮箱,jinyejianzhu168@sina.com
,,,电话,021-20243157
1020165762,上海锦义智能科技有限公司,施工企业,电子邮箱,1119292446@qq.com
,,,电子邮箱,13585903883@139.com
,,,电话,13681874417
,,,电话,13585903883
1020130776,上海锦钻建设工程有限公司,施工企业,电子邮箱,seasidee@163.com
,,,电子邮箱,sh_jinzuan@163.com
,,,电话,13701811339
1020166662,上海瑾鹏建筑装饰工程有限公司,施工企业,电子邮箱,598882008@qq.com
,,,电子邮箱,tangxj_sh@163.com
,,,电子邮箱,wcx168@bnsa-china.com
,,,电话,021-64520225
,,,电话,021-64135856
1020171177,上海瑾舜建设工程有限公司,施工企业,电子邮箱,shjs1818@yeah.net
,,,电话,13386111121
,,,电话,021-66785669
1020174117,上海荩瑟建设工程有限公司,施工企业,电子邮箱,18117426312@163.com
,,,电话,18117426312
1020171591,上海晋隆建设工程有限公司,施工企业,电子邮箱,13818835606@163.com
,,,电话,021-66379228
1020171793,上海晋升市政建筑工程有限公司,施工企业,电话,021-67152288
1020172909,上海晋炫成套设备工程有限公司,施工企业,电话,021-62367709
,,,电话,18621809791
1020170542,上海京岑建设工程有限公司,施工企业,电子邮箱,532313295@qq.com
,,,电子邮箱,xiazhijiancn@163.com
,,,电话,021-39273877
,,,电话,59853599
1020051028,上海京港建筑工程有限公司,施工企业,电子邮箱,945160973@qq.com
,,,电子邮箱,chq13901623529@163.com
